baserent,balcony,noparkspaces,haskitchen,cellar,livingspace,petsallowed,condition,geo_krs,lift,norooms,floor,garden,energyefficiencyclass
845.0,True,1.0,False,True,56.0,negotiable,first_time_use,Krefeld,True,2.0,1.0,False,A_PLUS
1680.0,True,1.0,True,True,91.0,no,fully_renovated,M?nchen,True,1.5,2.0,False,A
950.0,True,1.0,False,True,69.0,negotiable,first_time_use,Erding_Kreis,False,2.0,1.0,False,B
1337.22,True,1.0,True,True,116.28,yes,first_time_use,Dresden,True,3.0,1.0,False,C
1321.61,True,1.0,False,True,104.89,negotiable,first_time_use,Leipzig,True,4.0,4.0,False,B
899.0,True,1.0,True,True,79.64,negotiable,first_time_use,Braunschweig,True,2.0,0.0,True,A
920.0,True,1.0,False,True,115.0,negotiable,mint_condition,Plauen,True,4.0,2.0,True,A_PLUS
720.0,True,1.0,False,False,82.0,negotiable,first_time_use,Hannover_Kreis,False,2.0,1.0,False,A_PLUS
1744.26,True,1.0,True,True,130.0,yes,first_time_use,Leipzig,True,3.0,8.0,True,A
890.0,True,1.0,False,True,64.4,negotiable,mint_condition,D?sseldorf,True,2.0,4.0,False,B
1495.0,True,2.0,True,False,115.06,negotiable,first_time_use,D?sseldorf,True,3.0,5.0,True,A
1040.0,True,1.0,False,False,90.0,no,first_time_use,Rosenheim_Kreis,False,3.0,1.0,False,A
1000.0,False,1.0,False,True,71.4,no,first_time_use,Main_Taunus_Kreis,False,3.0,0.0,False,A
1763.63,True,1.0,False,True,160.33,negotiable,first_time_use,Berlin,True,7.0,5.0,False,A
710.0,True,1.0,True,False,71.0,negotiable,first_time_use,Pinneberg_Kreis,False,3.0,2.0,False,A_PLUS
2430.0,True,1.0,True,True,142.0,negotiable,first_time_use,Main_Taunus_Kreis,True,3.0,4.0,False,B
1040.0,True,1.0,True,True,86.57,no,first_time_use,Ravensburg_Kreis,True,3.0,2.0,False,A
990.0,False,1.0,False,True,86.0,no,first_time_use,Rosenheim_Kreis,False,3.0,2.0,False,D
1195.0,True,1.0,True,True,76.24,negotiable,first_time_use,D?sseldorf,True,2.0,7.0,False,B
1621.0,True,1.0,True,True,108.1,no,first_time_use,Hamburg,True,3.0,2.0,False,B
1230.0,True,1.0,True,False,114.95,negotiable,first_time_use,Leipzig,True,4.0,3.0,False,B
1295.0,True,1.0,True,True,102.68,negotiable,first_time_use,Hochtaunuskreis,True,4.0,3.0,False,A
757.17,True,1.0,True,False,51.16,negotiable,first_time_use,Frankfurt_am_Main,True,1.5,0.0,True,B
1244.25,True,2.0,False,False,110.6,no,first_time_use,Dresden,False,3.0,1.0,False,B
957.0,True,1.0,False,False,70.89,no,first_time_use,D?sseldorf,True,2.0,2.0,False,A
1850.0,True,1.0,True,True,132.24,negotiable,first_time_use,Magdeburg,True,3.0,1.0,False,A_PLUS
700.0,True,1.0,True,True,53.0,negotiable,first_time_use,Hamburg,True,2.0,3.0,False,C
770.0,True,1.0,False,True,75.36,negotiable,first_time_use,Leipzig,True,3.0,1.0,False,B
820.0,True,1.0,False,False,75.0,negotiable,first_time_use,Offenbach_Kreis,False,2.0,3.0,False,A
1249.0,True,1.0,True,True,102.9,negotiable,first_time_use,Magdeburg,True,3.0,5.0,False,B
700.08,True,1.0,False,False,81.26,negotiable,first_time_use,Harz_Kreis,True,3.0,1.0,False,C
910.0,True,5.0,True,True,111.0,negotiable,first_time_use,Rhein_Pfalz_Kreis,True,4.0,0.0,False,A_PLUS
697.4,True,1.0,True,False,63.4,negotiable,first_time_use,Straubing_Bogen_Kreis,True,2.0,0.0,True,A_PLUS
977.89,True,1.0,True,False,66.75,negotiable,first_time_use,Frankfurt_am_Main,True,2.0,4.0,False,B
825.0,True,1.0,True,True,76.0,negotiable,first_time_use,Passau,True,2.5,1.0,False,A_PLUS
2290.0,True,15.0,True,True,104.0,yes,mint_condition,Frankfurt_am_Main,True,3.0,1.0,False,A_PLUS
749.0,True,1.0,True,True,68.0,negotiable,first_time_use,Dresden,True,2.0,2.0,False,A
859.1,True,1.0,False,True,85.91,no,first_time_use,Gelsenkirchen,True,3.5,1.0,False,A_PLUS
1179.0,True,1.0,False,True,119.05,negotiable,first_time_use,Mei?en_Kreis,True,4.0,1.0,True,B
1126.0,True,2.0,False,True,125.1,negotiable,first_time_use,Passau,True,4.0,2.0,False,B
845.0,True,1.0,False,False,98.0,no,first_time_use,Bremerhaven,False,3.0,1.0,False,A
1050.0,True,1.0,False,True,76.25,negotiable,first_time_use,Offenbach_am_Main,False,3.0,1.0,False,A_PLUS
2220.43,True,1.0,True,False,108.05,negotiable,first_time_use,Berlin,True,4.0,4.0,False,C
1320.0,True,1.0,True,True,96.04,no,first_time_use,N?rnberg,True,3.5,1.0,False,A_PLUS
1008.0,True,1.0,False,True,96.28,no,first_time_use,Main_Kinzig_Kreis,True,3.0,3.0,False,B
1520.0,True,1.0,False,True,137.0,no,first_time_use,G?ttingen_Kreis,True,4.0,2.0,False,A
1020.0,True,1.0,False,True,64.14,no,first_time_use,Dachau_Kreis,False,2.0,1.0,False,B
800.0,True,2.0,False,True,88.0,no,first_time_use,Kelheim_Kreis,True,3.0,3.0,False,A
1270.0,True,1.0,False,False,144.29,no,first_time_use_after_refurbishment,D?ren_Kreis,False,3.0,1.0,False,B
1270.0,True,1.0,True,True,99.0,no,first_time_use,Frankfurt_am_Main,True,4.0,3.0,True,B
1300.0,True,1.0,False,True,101.0,negotiable,first_time_use,Rhein_Sieg_Kreis,True,3.0,4.0,False,A
1000.0,True,1.0,False,False,105.0,negotiable,first_time_use,Anhalt_Bitterfeld_Kreis,False,3.0,1.0,True,A
1528.74,True,1.0,True,True,134.1,negotiable,first_time_use,Dresden,True,5.0,4.0,False,B
584.44,True,1.0,True,True,42.66,yes,first_time_use,Leipzig,True,2.0,1.0,False,B
900.0,True,1.0,True,True,62.0,no,first_time_use,Mannheim,False,2.0,0.0,True,A
1221.36,True,1.0,False,False,152.67,negotiable,first_time_use,Chemnitz,False,4.0,0.0,True,B
850.0,True,2.0,False,True,90.84,no,first_time_use,Pfaffenhofen_an_der_Ilm_Kreis,True,3.0,1.0,False,A_PLUS
1355.41,True,1.0,True,False,101.15,yes,first_time_use,Dresden,True,4.0,6.0,False,C
1780.0,True,1.0,True,True,119.14,no,first_time_use,Offenbach_am_Main,True,4.0,1.0,False,B
1608.0,True,1.0,False,True,134.0,no,first_time_use,M?lheim_an_der_Ruhr,False,4.0,0.0,False,A_PLUS
681.62,True,1.0,True,True,69.27,negotiable,first_time_use,Dresden,True,2.0,2.0,False,A
770.0,True,1.0,True,True,83.42,negotiable,mint_condition,Aachen,True,3.0,1.0,False,A
1130.0,True,1.0,False,False,141.37,negotiable,first_time_use,Herford_Kreis,True,3.0,3.0,False,A
1035.0,True,1.0,False,False,129.26,negotiable,first_time_use,Leipzig,True,4.0,1.0,True,B
802.24,True,1.0,False,True,69.76,no,first_time_use,Mannheim,True,2.0,0.0,False,A_PLUS
395.0,False,1.0,True,True,21.31,no,mint_condition,Augsburg,True,1.0,3.0,False,A_PLUS
1192.0,True,1.0,False,True,116.85,negotiable,first_time_use,Mei?en_Kreis,True,4.0,2.0,True,B
435.0,True,1.0,False,True,48.46,negotiable,first_time_use,Magdeburg,False,2.0,2.0,False,A
820.0,True,1.0,False,True,56.69,no,first_time_use,Ebersberg_Kreis,True,2.0,1.0,False,B
815.62,True,1.0,False,True,84.52,negotiable,first_time_use,Leipzig,True,2.5,0.0,True,B
697.4,True,1.0,True,False,63.4,negotiable,first_time_use,Straubing_Bogen_Kreis,True,2.0,1.0,True,A_PLUS
820.0,False,2.0,True,False,96.0,negotiable,first_time_use,Alt?tting_Kreis,False,3.0,3.0,False,A_PLUS
520.0,False,1.0,True,True,70.0,negotiable,mint_condition,Deggendorf_Kreis,True,3.0,4.0,False,A
960.0,True,2.0,False,True,80.0,no,first_time_use,Aschaffenburg_Kreis,False,2.0,-1.0,True,A_PLUS
820.0,True,1.0,True,True,87.0,negotiable,first_time_use,Bad_Kreuznach_Kreis,True,3.0,2.0,False,A
670.0,True,1.0,False,False,76.32,negotiable,mint_condition,Leer_Kreis,False,3.0,1.0,False,A
1380.0,True,1.0,True,True,115.53,no,first_time_use,Speyer,True,4.0,1.0,False,A
1455.0,True,1.0,False,True,103.99,negotiable,first_time_use,Berlin,True,4.0,2.0,False,A_PLUS
550.0,True,1.0,False,True,43.32,negotiable,first_time_use,Pfaffenhofen_an_der_Ilm_Kreis,True,2.0,3.0,False,B
701.17,True,1.0,False,False,79.62,yes,first_time_use,Aachen_Kreis,True,3.0,1.0,False,A_PLUS
860.0,True,1.0,True,True,74.0,no,first_time_use_after_refurbishment,Pforzheim,True,2.0,4.0,True,B
2450.0,True,1.0,True,True,148.04,negotiable,first_time_use,Frankfurt_am_Main,True,5.0,3.0,False,A_PLUS
1199.0,True,1.0,True,True,31.09,no,first_time_use,M?nchen,True,1.0,2.0,True,B
1330.0,True,2.0,False,True,120.97,negotiable,first_time_use,Gelsenkirchen,True,3.0,1.0,False,E
946.0,True,1.0,False,True,80.6,negotiable,first_time_use,N?rnberg,True,3.0,3.0,False,B
1265.0,True,1.0,False,True,115.0,negotiable,first_time_use,Neuss_Rhein_Kreis,True,4.0,1.0,True,A
1190.0,True,2.0,True,True,120.0,negotiable,first_time_use_after_refurbishment,Bad_Kreuznach_Kreis,True,3.0,3.0,False,A_PLUS
1100.0,True,1.0,False,False,115.5,negotiable,first_time_use,Hamm,False,2.5,1.0,False,A
1035.0,True,1.0,False,False,129.26,negotiable,first_time_use,Leipzig,True,4.0,1.0,True,B
1200.0,True,1.0,False,True,120.0,no,first_time_use,Diepholz_Kreis,True,3.0,0.0,False,A_PLUS
865.0,True,1.0,False,True,78.0,no,first_time_use,Oberallg?u_Kreis,True,3.0,3.0,False,B
1239.0,True,1.0,True,True,88.5,no,first_time_use,Unterallg?u_Kreis,True,2.0,2.0,False,B
1150.0,True,2.0,True,True,88.42,negotiable,first_time_use,Offenbach_am_Main,True,3.0,0.0,True,A_PLUS
960.0,True,1.0,False,False,87.0,negotiable,first_time_use,Barnim_Kreis,True,3.0,1.0,False,A
1390.0,True,1.0,False,True,120.0,negotiable,first_time_use,Main_Kinzig_Kreis,False,4.0,1.0,False,A
1550.0,True,1.0,True,True,127.0,no,first_time_use,Heilbronn,True,4.0,1.0,False,A
940.0,True,2.0,True,True,94.0,negotiable,first_time_use,Aachen_Kreis,True,3.0,1.0,False,A
986.35,True,1.0,True,False,89.52,negotiable,first_time_use,Leipzig,True,3.0,2.0,False,B
498.93,True,1.0,True,False,47.52,negotiable,first_time_use,Leipzig,True,2.0,4.0,False,B
425.0,True,1.0,True,True,25.0,no,first_time_use,Aachen,True,1.0,3.0,False,A
1150.0,True,1.0,False,True,81.0,negotiable,first_time_use,D?sseldorf,True,3.0,0.0,True,B
497.0,True,1.0,False,True,71.0,no,first_time_use,Warendorf_Kreis,True,2.0,2.0,False,A
1001.85,True,1.0,True,True,76.77,yes,first_time_use,Leipzig,True,3.0,2.0,True,B
518.0,True,1.0,False,True,52.0,no,first_time_use,Kleve_Kreis,True,2.0,1.0,False,A_PLUS
750.0,True,1.0,False,True,85.0,no,first_time_use,Alzey_Worms_Kreis,False,3.0,0.0,False,A_PLUS
1245.0,True,1.0,False,True,131.0,negotiable,first_time_use,D?ren_Kreis,True,3.0,2.0,False,A_PLUS
1292.85,True,1.0,False,True,105.11,no,first_time_use,Dresden,True,3.0,5.0,False,B
2500.0,True,1.0,False,True,93.0,no,first_time_use,M?nchen,True,3.0,5.0,True,A_PLUS
1200.0,True,2.0,False,False,135.0,no,mint_condition,Darmstadt_Dieburg_Kreis,False,4.0,0.0,False,A_PLUS
1105.0,True,1.0,False,True,94.0,negotiable,first_time_use,Landshut,True,3.0,4.0,False,B
810.04,True,1.0,False,True,92.05,negotiable,first_time_use,Augsburg,True,4.0,3.0,False,B
960.89,True,1.0,True,True,76.81,yes,first_time_use,Leipzig,True,3.0,1.0,True,B
1160.0,False,2.0,False,False,116.0,no,first_time_use,Germersheim_Kreis,False,3.0,2.0,False,A_PLUS
922.0,True,1.0,True,True,92.26,negotiable,first_time_use,Bielefeld,True,3.0,2.0,False,B
1450.0,True,1.0,True,False,121.0,no,first_time_use,Wolfsburg,True,3.0,0.0,True,A
584.44,True,1.0,True,True,42.66,yes,first_time_use,Leipzig,True,2.0,4.0,True,B
1240.0,True,1.0,False,True,96.6,no,first_time_use,Bad_T?lz_Wolfratshausen_Kreis,True,3.0,1.0,False,A_PLUS
840.0,True,1.0,False,True,72.0,negotiable,first_time_use,Potsdam_Mittelmark_Kreis,True,2.0,0.0,True,A
