Country;Year;rule_of_law;GDP_blnUSD;GDP_per_capita_tUSD;Population
Afghanistan;2022;0.330643264;0;0;41128771
Albania;2022;0.487371486;18.012;6.337074525;2842321
Algeria;2022;0.486328997;168.195;3.74572205;44903225
Angola;2022;0.426498781;74.953;2.10607287;35588987
Antigua and Barbuda;2022;0.631118465;1.534;16.36039802;93763
Argentina;2022;0.548633035;483.765;10.62978729;45510318
Australia;2022;0.794076717;1677.45;64.08005252;26177413
Austria;2022;0.802697465;520.343;58.20640862;8939617
Bangladesh;2022;0.390675269;390.608;2.28177042;171186372
Barbados;2022;0.657583309;5.142;18.25767394;281635
Belarus;2022;0.460712907;70.632;7.407691741;9534954
Belgium;2022;0.791336903;619.16;53.11974248;11655930
Belize;2022;0.487439117;2.062;5.087940938;405272
Benin;2022;0.487277133;19.917;1.491590119;13352864
Bolivia;2022;0.375313304;40.895;3.345437827;12224110
Bosnia and Herzegovina;2022;0.520373981;23.006;7.114833776;3233526
Botswana;2022;0.592735602;19.002;7.224281982;2630296
Brazil;2022;0.494265751;1810.61;8.284981965;218541212
Bulgaria;2022;0.546905538;84.308;12.43122741;6781953
Burkina Faso;2022;0.491646224;21.887;0.965300774;22673762
Cambodia;2022;0.311690079;27.985;1.668968493;16767842
Cameroon;2022;0.355446409;48.29;1.729923077;27914536
Canada;2022;0.799883964;2189.79;56.94521711;38454327
Chile;2022;0.662654914;352.664;17.98963493;19603733
China;2022;0.471805593;18463.13;12.94851951;1425887337
Colombia;2022;0.483858252;319.29;6.155103757;51874024
Costa Rica;2022;0.682030733;64.374;12.42542458;5180829
Croatia;2022;0.612041907;68.525;17.00221171;4030358
Cyprus;2022;0.682927102;28.291;22.60588995;1251488
Denmark;2022;0.901821668;414.55;70.47460152;5882261
Dominica;2022;0.577229083;0.628;8.633845223;72737
Dominican Republic;2022;0.483348894;97.371;8.67152482;11228821
Ecuador;2022;0.481843141;109.975;6.109382812;18001000
El Salvador;2022;0.457522505;29.316;4.626607697;6336392
Estonia;2022;0.816574826;39.542;29.81911856;1326062
Ethiopia;2022;0.392856087;0;0;123379924
Finland;2022;0.870796444;314.538;56.76817829;5540745
France;2022;0.73079554;3140.03;48.58724797;64626628
Gabon;2022;0.39095853;19.632;8.217691813;2388992
Georgia;2022;0.601986462;19.688;5.258006321;3744385
Germany;2022;0.8342599;4557.35;54.66425072;83369843
Ghana;2022;0.551975971;82.018;2.450063284;33475870
Greece;2022;0.613401221;224.894;21.65571767;10384971
Grenada;2022;0.594080214;1.16;9.247596422;125438
Guatemala;2022;0.439068605;89.214;4.99968953;17843908
Guinea;2022;0.409898613;18.223;1.314853282;13859341
Guyana;2022;0.500216518;9.837;12.1635758;808726
Haiti;2022;0.352449771;18.825;1.624946612;11584996
Honduras;2022;0.405623117;27.923;2.676447302;10432860
Hong Kong;2022;0.727392092;0;0;7488865
Hungary;2022;0.516065937;198.992;19.96446784;9967308
India;2022;0.497209865;3250.08;2.293354166;1417173173
Indonesia;2022;0.531363313;1247.35;4.527564202;275501339
Ireland;2022;0.809185642;550.518;109.5970643;5023109
Italy;2022;0.665569071;2272.27;38.48860471;59037474
Jamaica;2022;0.580434486;15.63;5.528091938;2827377
Japan;2022;0.78572999;5383.68;43.43369512;123951692
Jordan;2022;0.540252096;47.5;4.208803062;11285869
Kazakhstan;2022;0.52827254;203.666;10.49933091;19397998
Kenya;2022;0.448873272;116.641;2.158919588;54027487
South Korea;2022;0.732535629;0;0;51815810
Latvia;2022;0.722523989;40.83;22.06250665;1850651
Lebanon;2022;0.446847084;0;0;5489739
Liberia;2022;0.433814012;3.664;0.690971228;5302681
Lithuania;2022;0.764534693;67.659;24.60278067;2750055
Luxembourg;2022;0.826384091;89.683;138.4853899;647599
Madagascar;2022;0.435709938;15.402;0.520131999;29611714
Malawi;2022;0.524513457;12.008;0.588474073;20405317
Malaysia;2022;0.565178648;415.375;12.23915066;33938221
Mali;2022;0.424003214;21.261;0.941019112;22593590
Malta;2022;0.678923378;18.209;34.14490536;533286
Mauritania;2022;0.366523388;9.336;1.971225929;4736139
Mauritius;2022;0.612079937;11.954;9.199142111;1299469
Mexico;2022;0.422936612;1371.64;10.75761274;127504125
Moldova;2022;0.521758177;13.315;4.068138183;3272996
Mongolia;2022;0.536757188;15.83;4.658120991;3398366
Morocco;2022;0.479415812;132.645;3.541168848;37457971
Mozambique;2022;0.395928111;16.759;0.508318017;32969518
Myanmar;2022;0.362169181;63.052;1.163765368;54179306
Namibia;2022;0.612062671;13.122;5.111779766;2567012
Nepal;2022;0.520791392;36.296;1.188179227;30547580
Netherlands;2022;0.834922122;1070.75;60.96271615;17564014
New Zealand;2022;0.827103302;267.636;51.61449084;5185288
Nicaragua;2022;0.361555806;13.948;2.007370914;6948392
Niger;2022;0.442738598;17.261;0.658616268;26207977
Nigeria;2022;0.407704262;555.346;2.541149996;218541212
North Macedonia;2022;0.533452301;0;0;2093599
Norway;2022;0.889431577;458.398;84.3524276;5434319
Pakistan;2022;0.385897093;0;0;235824862
Panama;2022;0.516747755;64.366;14.60016273;4408581
Paraguay;2022;0.468430732;39.197;5.780634102;6780744
Peru;2022;0.485256639;231.691;6.804516989;34049588
Philippines;2022;0.467060735;406.107;3.514282474;115559009
Poland;2022;0.642965222;720.35;18.07329652;39857145
Portugal;2022;0.689294299;271.191;26.40391048;10270865
Romania;2022;0.633312825;314.876;16.01667041;19659267
Russian Federation;2022;0.445822967;0;0;144713314
Rwanda;2022;0.628687096;11.035;0.800990194;13776698
Senegal;2022;0.560840445;30.039;1.734709004;17316449
Serbia;2022;0.489837644;65.697;9.097587506;7221365
Sierra Leone;2022;0.448745986;4.587;0.533017698;8605718
Singapore;2022;0.776887451;396.995;66.43501695;5975689
Slovak Republic;2022;0.657005897;127.497;22.59201946;5643453
Slovenia;2022;0.677239684;65.475;30.88670676;2119844
South Africa;2022;0.576509;435.212;7.26638454;59893885
Spain;2022;0.726748025;1570.91;33.03101877;47558630
Sri Lanka;2022;0.500822664;83.315;3.816162252;21832143
St. Kitts and Nevis;2022;0.632557278;1.092;22.91373775;47657
St. Lucia;2022;0.613876577;1.998;11.10882534;179857
St. Vincent and the Grenadines;2022;0.630379075;0.855;8.225266479;103948
Sudan;2022;0.391050238;37.769;0.805752349;46874204
Suriname;2022;0.495865881;2.937;4.752119604;618040
