Country,Year,rule_of_law,GDP_blnUSD,GDP_per_capita_tUSD,Population,Innovation_Score,Tax_Score
Afghanistan,2022,0.330643264,0,0,41128771,0,0
Albania,2022,0.487371486,18.012,6.33707,2842321,24.4,0
Algeria,2022,0.486328997,168.195,3.74572,44903225,16.7,0
Angola,2022,0.426498781,74.953,2.10607,35588987,13.9,0
"Antigua and Barbuda",2022,0.631118465,1.534,16.3604,93763,0,0
Argentina,2022,0.548633035,483.765,10.6298,45510318,28.6,0
Australia,2022,0.794076717,1677.45,64.0801,26177413,47.1,75.5
Austria,2022,0.802697465,520.343,58.2064,8939617,50.2,68.6
Bangladesh,2022,0.390675269,390.608,2.28177,171186372,19.7,0
Barbados,2022,0.657583309,5.142,18.2577,281635,0,0
Belarus,2022,0.460712907,70.632,7.40769,9534954,27.5,0
Belgium,2022,0.791336903,619.16,53.1197,11655930,46.9,65.1
Belize,2022,0.487439117,2.062,5.08794,405272,0,0
Benin,2022,0.487277133,19.917,1.49159,13352864,14.6,0
Bolivia,2022,0.375313304,40.895,3.34544,12224110,0,0
"Bosnia and Herzegovina",2022,0.520373981,23.006,7.11483,3233526,28.5,0
Botswana,2022,0.592735602,19.002,7.22428,2630296,23.9,0
Brazil,2022,0.494265751,1810.61,8.28498,218541212,32.5,0
Bulgaria,2022,0.546905538,84.308,12.4312,6781953,39.5,0
"Burkina Faso",2022,0.491646224,21.887,0.965301,22673762,15.3,0
Cambodia,2022,0.311690079,27.985,1.66897,16767842,20.5,0
Cameroon,2022,0.355446409,48.29,1.72992,27914536,15.1,0
Canada,2022,0.799883964,2189.79,56.9452,38454327,50.8,69.3
Chile,2022,0.662654914,352.664,17.9896,19603733,34,61.9
China,2022,0.471805593,18463.1,12.9485,1425887337,55.3,0
Colombia,2022,0.483858252,319.29,6.1551,51874024,29.2,57.8
"Costa Rica",2022,0.682030733,64.374,12.4254,5180829,28.7,67.5
Croatia,2022,0.612041907,68.525,17.0022,4030358,35.6,0
Cyprus,2022,0.682927102,28.291,22.6059,1251488,46.2,0
"Czech Republic",2022,0.73,290,27.533,10533000,44.83,71.9
Denmark,2022,0.901821668,414.55,70.4746,5882261,55.9,57.3
Dominica,2022,0.577229083,0.628,8.63385,72737,0,0
"Dominican Republic",2022,0.483348894,97.371,8.67153,11228821,22.7,0
Ecuador,2022,0.481843141,109.975,6.10938,18001000,20.3,0
"El Salvador",2022,0.457522505,29.316,4.62661,6336392,19.9,0
Estonia,2022,0.816574826,39.542,29.8191,1326062,50.2,100
Ethiopia,2022,0.392856087,0,0,123379924,16.3,0
Finland,2022,0.870796444,314.538,56.7682,5540745,56.9,67.4
France,2022,0.73079554,3140.03,48.5872,64626628,55,45.3
Gabon,2022,0.39095853,19.632,8.21769,2388992,0,0
Georgia,2022,0.601986462,19.688,5.25801,3744385,27.9,0
Germany,2022,0.8342599,4557.35,54.6642,83369843,57.2,70.2
Ghana,2022,0.551975971,82.018,2.45006,33475870,20.8,0
Greece,2022,0.613401221,224.894,21.6557,10384971,34.5,59.2
Grenada,2022,0.594080214,1.16,9.2476,125438,0,0
Guatemala,2022,0.439068605,89.214,4.99969,17843908,17.8,0
Guinea,2022,0.409898613,18.223,1.31485,13859341,11.6,0
Guyana,2022,0.500216518,9.837,12.1636,808726,0,0
Haiti,2022,0.352449771,18.825,1.62495,11584996,0,0
Honduras,2022,0.405623117,27.923,2.67645,10432860,17.3,0
"Hong Kong",2022,0.727392092,0,0,7488865,51.8,0
Hungary,2022,0.516065937,198.992,19.9645,9967308,39.8,77.9
India,2022,0.497209865,3250.08,2.29335,1417173173,36.6,0
Indonesia,2022,0.531363313,1247.35,4.52756,275501339,27.9,0
Ireland,2022,0.809185642,550.518,109.597,5023109,48.5,55.6
Israel,2022,0.95,522.033,57.758,9038309,54.38,78.2
Italy,2022,0.665569071,2272.27,38.4886,59037474,46.1,49.1
Jamaica,2022,0.580434486,15.63,5.52809,2827377,27.7,0
Japan,2022,0.78572999,5383.68,43.4337,123951692,53.6,67.3
Jordan,2022,0.540252096,47.5,4.2088,11285869,27.4,0
Kazakhstan,2022,0.52827254,203.666,10.4993,19397998,24.7,0
Kenya,2022,0.448873272,116.641,2.15892,54027487,22.7,0
Latvia,2022,0.722523989,40.83,22.0625,1850651,36.5,89.9
Lebanon,2022,0.446847084,0,0,5489739,0,0
Liberia,2022,0.433814012,3.664,0.690971,5302681,0,0
Lithuania,2022,0.764534693,67.659,24.6028,2750055,37.3,76.9
Luxembourg,2022,0.826384091,89.683,138.485,647599,49.8,80.6
Madagascar,2022,0.435709938,15.402,0.520132,29611714,18.6,0
Malawi,2022,0.524513457,12.008,0.588474,20405317,0,0
Malaysia,2022,0.565178648,415.375,12.2392,33938221,38.7,0
Mali,2022,0.424003214,21.261,0.941019,22593590,14.2,0
Malta,2022,0.678923378,18.209,34.1449,533286,49.2,0
Mauritania,2022,0.366523388,9.336,1.97123,4736139,12.4,0
Mauritius,2022,0.612079937,11.954,9.19914,1299469,34.4,0
Mexico,2022,0.422936612,1371.64,10.7576,127504125,31,58.4
Moldova,2022,0.521758177,13.315,4.06814,3272996,31.1,0
Mongolia,2022,0.536757188,15.83,4.65812,3398366,28,0
Morocco,2022,0.479415812,132.645,3.54117,37457971,28.8,0
Mozambique,2022,0.395928111,16.759,0.508318,32969518,15,0
Myanmar,2022,0.362169181,63.052,1.16377,54179306,16.4,0
Namibia,2022,0.612062671,13.122,5.11178,2567012,20.6,0
Nepal,2022,0.520791392,36.296,1.18818,30547580,17.6,0
Netherlands,2022,0.834922122,1070.75,60.9627,17564014,58,71.3
"New Zealand",2022,0.827103302,267.636,51.6145,5185288,47.2,89.7
Nicaragua,2022,0.361555806,13.948,2.00737,6948392,18.1,0
Niger,2022,0.442738598,17.261,0.658616,26207977,14.6,0
Nigeria,2022,0.407704262,555.346,2.54115,218541212,16.9,0
"North Macedonia",2022,0.533452301,0,0,2093599,28.8,0
Norway,2022,0.889431577,458.398,84.3524,5434319,48.8,69
Pakistan,2022,0.385897093,0,0,235824862,23,0
Panama,2022,0.516747755,64.366,14.6002,4408581,25.7,0
Paraguay,2022,0.468430732,39.197,5.78063,6780744,22.7,0
Peru,2022,0.485256639,231.691,6.80452,34049588,29.1,0
Philippines,2022,0.467060735,406.107,3.51428,115559009,30.7,0
Poland,2022,0.642965222,720.35,18.0733,39857145,37.5,59.3
Portugal,2022,0.689294299,271.191,26.4039,10270865,42.1,51.4
Romania,2022,0.633312825,314.876,16.0167,19659267,34.1,0
"Russian Federation",2022,0.445822967,0,0,144713314,34.3,0
Rwanda,2022,0.628687096,11.035,0.80099,13776698,18.7,0
Senegal,2022,0.560840445,30.039,1.73471,17316449,19.9,0
Serbia,2022,0.489837644,65.697,9.09759,7221365,32.3,0
"Sierra Leone",2022,0.448745986,4.587,0.533018,8605718,0,0
Singapore,2022,0.776887451,396.995,66.435,5975689,57.3,0
"Slovak Republic",2022,0.657005897,127.497,22.592,5643453,0,74.1
Slovenia,2022,0.677239684,65.475,30.8867,2119844,40.6,66.1
"South Africa",2022,0.576509,435.212,7.26638,59893885,29.8,0
"South Korea",2022,0.732535629,0,0,51815810,57.8,64.1
Spain,2022,0.726748025,1570.91,33.031,47558630,44.6,56.9
"Sri Lanka",2022,0.500822664,83.315,3.81616,21832143,24.2,0
"St. Kitts and Nevis",2022,0.632557278,1.092,22.9137,47657,0,0
"St. Lucia",2022,0.613876577,1.998,11.1088,179857,0,0
"St. Vincent and the Grenadines",2022,0.630379075,0.855,8.22527,103948,0,0
Sudan,2022,0.391050238,37.769,0.805752,46874204,0,0
Suriname,2022,0.495865881,2.937,4.75212,618040,0,0
Sweden,2022,0.857421303,660.918,62.6501,10549347,61.6,74.2
Tanzania,2022,0.461344542,74.536,1.13799,65497748,19.4,0
Thailand,2022,0.495275408,585.586,8.16751,71697030,34.9,0
"The Bahamas",2022,0.605467575,0,0,409984,0,0
"The Gambia",2022,0.487403427,0,0,2705992,0,0
Togo,2022,0.458786996,9.357,1.05744,8848699,15.1,0
"Trinidad and Tobago",2022,0.522788504,23.082,15.076,1531044,19.8,0
Tunisia,2022,0.518380966,45.454,3.67866,12356117,27.9,0
Turkey,2022,0.416906528,0,0,85341241,38.1,76.6
UAE,2022,0.633819721,427.93,45.3261,9441129,42.1,0
Uganda,2022,0.390533803,47,0.994718,47249585,15.7,0
UK,2022,0.787744034,3442.21,50.989,67508936,59.7,62.9
Ukraine,2022,0.499652526,203.925,5.13643,39701739,31,0
Uruguay,2022,0.713883843,63.741,18.6225,3422794,29.2,0
US,2022,0.707235208,24796.1,73.2983,338289857,61.8,66.8
Uzbekistan,2022,0.496015715,72.762,2.10127,34627652,25.3,0
Vietnam,2022,0.489194975,415.493,4.23166,98186856,34.2,0
Zambia,2022,0.449880867,23.967,1.19729,20017675,15.8,0
Zimbabwe,2022,0.391414203,27.806,1.70374,16320537,18.1,0
