number,name,Valuation_US_billions,Valuation_date,Industry,Country,size_group,country,year,rule_of_law,GDP_blnUSD,GDP_per_capita_tUSD,Population
0,1Password,6.8,"July 2021[84]","Password manager",Canada,huge,Canada,2022,0.799884,2189.79,56.9452,38454327
1,"58 Daojia",1,"October 2015[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
2,5ire,1.5,"July 2022[570]",Technology,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
3,6sense,2.1,"March 2021[266]","Artificial intelligence",US,large,US,2022,0.707235,24796.1,73.2983,338289857
4,Acko,1.1,"October 2021[418]",Insurance,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
5,Acorns,2.2,"May 2021[260]","Financial technology",US,large,US,2022,0.707235,24796.1,73.2983,338289857
6,Acronis,1,"September 2019[439]",Software,Singapore,medium,Singapore,2022,0.776887,396.995,66.435,5975689
7,ActiveCampaign,3,"April 2021[196]",Marketing,US,large,US,2022,0.707235,24796.1,73.2983,338289857
8,Ada,1.2,"May 2021[399]",Software,Canada,medium,Canada,2022,0.799884,2189.79,56.9452,38454327
9,Addepar,2.17,"June 2021[264]","Financial technology",US,large,US,2022,0.707235,24796.1,73.2983,338289857
10,Afiniti,1.6,"May 2017[330]","Software development",US,medium,US,2022,0.707235,24796.1,73.2983,338289857
11,"Age of Learning, Inc.",3,"June 2021[197]",Education,US,large,US,2022,0.707235,24796.1,73.2983,338289857
12,Aihuishou,1.5,"January 2018[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
13,Aircall,1,"October 2021[440]",Cloud,France,medium,France,2022,0.730796,3140.03,48.5872,64626628
14,Airtable,11,"December 2021[39]","Collaborative software",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
15,Airwallex,5.5,"November 2021[103]","Financial services",Australia,huge,Australia,2022,0.794077,1677.45,64.0801,26177413
16,Aiven,2,"October 2021[280]","Data infrastructure",Finland,large,Finland,2022,0.870796,314.538,56.7682,5540745
17,Aiways,1.6,"April 2018[124]","Electric vehicles",China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
18,Ajaib,1,"October 2021[441]","Financial technology",Indonesia,medium,Indonesia,2022,0.531363,1247.35,4.52756,275501339
19,Akulaku,2,"February 2022[302]","Financial technology",Indonesia,large,Indonesia,2022,0.531363,1247.35,4.52756,275501339
20,Alan,1.68,"April 2021[325]","Health technology",France,medium,France,2022,0.730796,3140.03,48.5872,64626628
21,Alation,1.2,"June 2021[400]",Software,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
22,Alchemy,10.2,"January 2022 [43]",Blockchain,US,huge,US,2022,0.707235,24796.1,73.2983,338289857
23,Algolia,2.25,"June 2021[256]",Software,France,large,France,2022,0.730796,3140.03,48.5872,64626628
24,AlphaSense,1.7,"June 2022[317]",Software,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
25,"Amber Group",1,"June 2021[442]",Cryptocurrency,"Hong Kong",medium,"Hong Kong",2022,0.727392,0,0,7488865
26,"AmWINS Group",2.6,"October 2016[237]",Insurance,US,large,US,2022,0.707235,24796.1,73.2983,338289857
27,Andela,1.5,"September 2021[341]",Education,Nigeria,medium,Nigeria,2022,0.407704,555.346,2.54115,218541212
28,"Anduril Industries",4.6,"June 2021[130]","Defense technology",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
29,"Animoca Brands",5,"January 2022[126]","Blockchain gaming","Hong Kong",huge,"Hong Kong",2022,0.727392,0,0,7488865
